,Provincia,Partido,Localidad,Población,ADSL,Cablemódem,Dial Up,Fibra óptica,Satelital,Wireless,Telefonía Fija,3G,4G,Link,Latitud,Longitud,Total_Servicios_Disponibles,Categoria_Poblacion
0,BUENOS AIRES,9 de Julio,Alfredo Demarchi (Est. Facundo Quiroga),1853,True,False,False,False,False,False,True,True,True,6588010.0,-35.2929819536873,-61.4072542128,4,Pequeña
1,BUENOS AIRES,9 de Julio,Carlos María Naón,497,False,False,False,False,False,False,True,True,True,6588020.0,-35.239499381663,-60.8251358750153,3,Muy pequeña
2,BUENOS AIRES,9 de Julio,Dudignac,2670,False,False,True,False,False,True,True,True,True,6588040.0,-35.6511928511123,-60.7098962799094,5,Mediana
3,BUENOS AIRES,9 de Julio,La Aurora (Est. La Niña),531,False,False,False,False,False,False,False,False,True,6588050.0,-35.4079467934432,-61.2105668204871,1,Pequeña
4,BUENOS AIRES,9 de Julio,Manuel B. Gonnet (Est. French),748,True,False,False,True,False,False,True,True,True,6588060.0,-35.5201414507378,-60.9989487976537,5,Pequeña
5,BUENOS AIRES,9 de Julio,Marcelino Ugarte (Est. Dennehy),76,False,False,False,False,False,False,True,False,True,6588070.0,-35.3462662593318,-60.7453446826815,2,Muy pequeña
6,BUENOS AIRES,9 de Julio,Morea,347,False,False,False,False,False,True,True,False,False,6588080.0,-35.5563880098445,-60.5605940553161,2,Muy pequeña
7,BUENOS AIRES,9 de Julio,Norumbega,57,False,False,False,False,False,False,True,False,False,6588090.0,-35.5357392707567,-60.7928143632315,1,Muy pequeña
8,BUENOS AIRES,9 de Julio,Patricios,745,True,False,False,False,False,True,True,True,False,6588110.0,-35.4395526972374,-60.7174384712323,4,Pequeña
9,BUENOS AIRES,9 de Julio,Villa General Fournier (Est. 9 de Julio Sud),566,False,False,False,True,False,True,True,True,True,6588120.0,-35.4989239490928,-60.8647207106461,5,Pequeña
10,BUENOS AIRES,Adolfo Alsina,Carhué,9660,True,False,True,True,False,True,True,True,True,6007010.0,-37.1774801030509,-62.7578962604015,7,Mediana
11,BUENOS AIRES,Adolfo Alsina,Espartillar,21,False,False,False,False,False,False,False,False,True,6007040.0,-37.3563345638716,-62.4387637810214,1,Muy pequeña
12,BUENOS AIRES,Alberti,Villa María,24,False,False,False,False,False,False,False,False,False,6021060.0,-34.8881255447686,-60.3469385614883,0,Muy pequeña
13,BUENOS AIRES,Alberti,Villa Ortiz (Est. Coronel Mom),815,False,False,False,False,False,True,True,True,True,6021070.0,-34.8435329449862,-60.3048498633642,4,Pequeña
14,BUENOS AIRES,Almirante Brown,Adrogué,30271,True,True,True,True,True,True,True,True,True,6028010.0,-34.8015580737331,-58.3914677191541,9,Grande
15,BUENOS AIRES,Almirante Brown,Burzaco,92223,True,True,True,True,True,True,True,True,True,6028010.0,-34.8315415891783,-58.3986874871405,9,Grande
16,BUENOS AIRES,Almirante Brown,Claypole,44098,True,True,True,True,False,True,True,True,True,6028010.0,-34.8044759080477,-58.3447825531042,8,Grande
