Provincia,Mejora_Necesaria
buenos aires,-0.022653705698294307
capital federal,0.014192875901661295
catamarca,-0.10529902672485704
chaco,-0.06660384674306495
chubut,-0.08138899235875402
corrientes,-0.07956976545267072
córdoba,-0.03935786099259321
entre ríos,-0.056990596687814636
formosa,-0.07888108524503579
jujuy,-0.14030009261472204
la pampa,-0.056149830982438115
la rioja,-0.2772332296395375
mendoza,-0.03870169231518991
misiones,-0.08072826220895317
neuquén,-0.028632597804502072
río negro,-0.029551605057723238
salta,-0.06138404341769393
san juan,-0.05010725435230081
san luis,-0.5120578896814516
santa cruz,-0.05658471960965913
santa fe,-0.035952206497577036
santiago del estero,-0.1579318182051001
tierra del fuego,-0.052854793046863725
tucumán,-0.048799572778485435
